Contig	SoftClippedBases	TotalBases	Fraction
NODE_324_length_38019_cov_3.934204	160347	2743272	0.058451
NODE_1518_length_25515_cov_3.705107	193306	1890625	0.102244
NODE_1398_length_26119_cov_3.332859	377498	2479942	0.15222
NODE_727_length_31215_cov_3.508645	236559	2638997	0.0896397
NODE_803_length_30555_cov_3.452292	307914	2476338	0.124342
NODE_2481_length_21927_cov_3.288437	196246	1700209	0.115425
NODE_1934_length_23687_cov_3.769162	178067	1934359	0.0920548
NODE_1232_length_27177_cov_3.902172	177646	1971716	0.0900972
NODE_907_length_29478_cov_3.576977	130567	2186144	0.0597248
NODE_779_length_30785_cov_3.246041	446279	3025868	0.147488
NODE_1363_length_26299_cov_3.374198	265621	2279194	0.116542
NODE_1671_length_24775_cov_4.044091	443004	2767820	0.160055
NODE_1792_length_24339_cov_3.617079	150409	1708372	0.0880423
NODE_1417_length_26012_cov_3.546675	167009	1975464	0.0845417
NODE_642_length_32164_cov_3.576236	176076	2559076	0.0688045
NODE_775_length_30798_cov_3.466237	158264	2147698	0.0736901
NODE_1187_length_27425_cov_3.169655	238265	2094401	0.113763
NODE_576_length_33165_cov_3.744450	267779	2798278	0.0956942
NODE_870_length_29769_cov_3.626862	239221	2288588	0.104528
NODE_435_length_35370_cov_3.605143	291121	3043840	0.0956427
NODE_2021_length_23386_cov_3.703440	279270	1983163	0.14082
NODE_2672_length_21406_cov_3.854039	181156	1819365	0.099571
NODE_253_length_39913_cov_3.491737	666965	3875412	0.172102
NODE_497_length_34219_cov_3.679894	198259	2535032	0.0782077
NODE_591_length_32933_cov_3.337699	424369	2804143	0.151336
NODE_434_length_35410_cov_3.686132	310621	2838089	0.109447
NODE_1960_length_23605_cov_3.628095	151303	1771406	0.0854141
NODE_83_length_49492_cov_3.815622	1925565	10777075	0.178672
NODE_453_length_35076_cov_3.563999	316141	2632027	0.120113
NODE_2604_length_21586_cov_3.454926	213078	1834441	0.116154
NODE_2164_length_22912_cov_3.868584	793472	9386921	0.0845295
NODE_2136_length_23037_cov_3.526942	176932	1835817	0.0963778
NODE_29_length_60093_cov_3.565107	315597	4569961	0.069059
NODE_332_length_37862_cov_3.790191	175114	2820566	0.0620847
NODE_1378_length_26215_cov_3.697580	190548	2023967	0.0941458
NODE_983_length_28910_cov_3.522196	459731	2551767	0.180162
NODE_251_length_39947_cov_3.536915	234774	3059257	0.0767422
NODE_2331_length_22378_cov_3.646842	170815	1805539	0.0946061
NODE_604_length_32750_cov_3.236624	213751	2358857	0.0906163
NODE_634_length_32233_cov_3.560310	195334	2452305	0.0796532
NODE_1836_length_24089_cov_3.559275	109408	1837955	0.059527
NODE_2315_length_22444_cov_3.461535	407990	2457992	0.165985
NODE_2666_length_21422_cov_3.841392	220559	1856517	0.118803
NODE_131_length_44884_cov_3.879424	485542	3953359	0.122818
NODE_1806_length_24228_cov_3.588089	215467	2124990	0.101397
NODE_2271_length_22555_cov_3.809271	351306	2335491	0.150421
NODE_3051_length_20383_cov_3.282341	160447	1760200	0.0911527
NODE_1730_length_24556_cov_3.706628	234758	2016732	0.116405
NODE_1658_length_24835_cov_3.461635	132703	1786650	0.0742748
NODE_2766_length_21120_cov_3.620189	228657	1779681	0.128482
NODE_2368_length_22267_cov_2.873376	403998	2382738	0.169552
NODE_2826_length_20961_cov_3.164606	455250	2224784	0.204627
NODE_3124_length_20252_cov_3.401479	111219	1472353	0.0755383
NODE_7_length_74596_cov_3.829966	1150623	8792747	0.13086
NODE_1990_length_23479_cov_4.265954	297816	2949304	0.100978
NODE_1644_length_24900_cov_3.833515	126071	1878074	0.0671278
NODE_1052_length_28330_cov_3.697212	218125	2285768	0.0954274
NODE_530_length_33781_cov_3.613711	353171	3388678	0.104221
NODE_1375_length_26224_cov_3.649455	348814	2336425	0.149294
NODE_2837_length_20926_cov_3.322274	660698	3493548	0.189119
NODE_968_length_29042_cov_3.105518	477165	2712970	0.175883
NODE_2857_length_20874_cov_3.761781	121803	1607293	0.0757815
NODE_2224_length_22695_cov_3.639272	895710	3837017	0.233439
NODE_975_length_29013_cov_3.403611	568168	3336119	0.170308
NODE_3033_length_20437_cov_3.306716	12815486	33712503	0.38014
NODE_2057_length_23307_cov_3.641632	104537	1687515	0.0619473
NODE_3080_length_20328_cov_3.290079	359738	2042293	0.176144
NODE_175_length_42525_cov_3.877834	169670	3161508	0.0536674
NODE_1484_length_25686_cov_3.148161	389170	2675521	0.145456
NODE_3161_length_20192_cov_3.359478	210339	1575668	0.133492
NODE_2479_length_21945_cov_3.825597	117769	1936116	0.0608275
NODE_2030_length_23375_cov_3.562854	83243	1725252	0.0482498
NODE_850_length_29993_cov_3.507794	329798	2411578	0.136756
NODE_1202_length_27333_cov_3.550084	164499	2325828	0.0707271
NODE_185_length_42382_cov_3.751248	332802	3544506	0.0938924
NODE_1604_length_25030_cov_3.898440	105870	1799985	0.0588172
NODE_1876_length_23906_cov_3.731928	147153	1677040	0.0877457
NODE_2173_length_22884_cov_3.231951	300977	1727093	0.174268
NODE_1666_length_24812_cov_3.747016	154053	1795613	0.0857941
NODE_2081_length_23242_cov_2.928142	255855	2055118	0.124497
NODE_1133_length_27739_cov_4.007272	302030	2244959	0.134537
NODE_2127_length_23063_cov_3.184593	628659	2620185	0.239929
NODE_3233_length_20039_cov_4.097192	115338	1362671	0.0846411
NODE_1056_length_28316_cov_3.315165	216564	2180017	0.0993405
NODE_2031_length_23374_cov_3.216241	238208	1804057	0.13204
NODE_1910_length_23739_cov_3.439298	181859	1628733	0.111657
NODE_329_length_37930_cov_3.397082	298311	3045953	0.0979368
NODE_1834_length_24096_cov_3.791641	147742	1785811	0.082731
NODE_566_length_33296_cov_3.393469	241595	2507627	0.0963441
NODE_2261_length_22579_cov_3.617482	142970	1800235	0.0794174
NODE_744_length_31109_cov_3.697194	417133	3152373	0.132323
NODE_1004_length_28751_cov_3.208258	184716	2481728	0.0744304
NODE_1896_length_23803_cov_3.574544	153017	1785795	0.0856856
NODE_498_length_34210_cov_3.821524	1076143	4946255	0.217567
NODE_3129_length_20244_cov_3.816282	611249	2523658	0.242208
NODE_2716_length_21267_cov_3.430745	193774	1645441	0.117764
NODE_1335_length_26506_cov_3.801530	730498	4462040	0.163714
NODE_1112_length_27847_cov_3.203654	158090	2083420	0.07588
NODE_215_length_41229_cov_3.549161	353314	3864354	0.091429
NODE_1062_length_28263_cov_3.487182	383797	3177356	0.120791
NODE_3229_length_20043_cov_3.612365	1159115	4562068	0.254077
NODE_2462_length_21981_cov_3.552143	215169	1738728	0.123751
NODE_278_length_39288_cov_3.988823	332061	3564544	0.0931567
NODE_1446_length_25900_cov_3.202783	381546	2269740	0.168101
NODE_1985_length_23514_cov_3.715268	112129	1655048	0.0677497
NODE_234_length_40623_cov_3.740993	624333	4388111	0.142278
NODE_555_length_33480_cov_3.831940	1317793	7587404	0.173682
NODE_2864_length_20857_cov_3.493882	292062	1969071	0.148325
NODE_1437_length_25946_cov_3.194800	437345	2376719	0.184012
NODE_872_length_29752_cov_3.608640	374542	2480994	0.150964
NODE_123_length_45325_cov_3.673064	431508	3800167	0.11355
NODE_2553_length_21723_cov_3.777423	163426	1605726	0.101777
NODE_3171_length_20169_cov_4.095167	142913	1877522	0.0761179
NODE_3145_length_20212_cov_3.401531	760747	3495071	0.217663
NODE_509_length_34066_cov_3.314835	223587	2655233	0.0842062
NODE_108_length_46346_cov_3.619910	222647	3372280	0.0660227
NODE_141_length_44334_cov_3.795547	393272	3732371	0.105368
NODE_1111_length_27872_cov_3.492277	212498	2101157	0.101134
NODE_1480_length_25708_cov_3.410715	316791	2169152	0.146044
NODE_1765_length_24443_cov_3.706827	453567	3401105	0.133359
NODE_2143_length_23021_cov_3.570631	619744	5089397	0.121772
NODE_749_length_31061_cov_3.421904	266192	2371899	0.112227
NODE_2992_length_20539_cov_3.581164	89274	1491097	0.0598714
NODE_2805_length_21018_cov_3.415699	251170	1641465	0.153016
NODE_1423_length_25991_cov_3.779005	179361	1997754	0.0897813
NODE_1525_length_25452_cov_3.654952	221678	2065629	0.107317
NODE_1626_length_24973_cov_3.704551	630345	3969381	0.158802
NODE_2884_length_20798_cov_3.216629	385247	2290177	0.168217
NODE_1809_length_24210_cov_3.226909	1420841	8310071	0.170978
NODE_181_length_42477_cov_3.618977	361448	3471641	0.104114
NODE_921_length_29374_cov_3.401981	170037	2122515	0.0801111
NODE_1152_length_27646_cov_3.747559	419955	2815140	0.149177
NODE_927_length_29347_cov_3.752393	136775	2120511	0.064501
NODE_2915_length_20716_cov_3.912451	1777903	10432862	0.170414
NODE_2797_length_21033_cov_3.294449	610052	3179934	0.191844
NODE_2865_length_20854_cov_3.581980	253329	1889836	0.134048
NODE_1515_length_25537_cov_3.189559	841602	2834194	0.296946
NODE_2583_length_21641_cov_3.773559	1198830	4787792	0.250393
NODE_1803_length_24237_cov_3.639034	628555	3481778	0.180527
NODE_1182_length_27450_cov_3.211766	296583	2374972	0.124879
NODE_587_length_32946_cov_3.616495	238306	2580480	0.0923495
NODE_2935_length_20676_cov_3.609078	137183	1849984	0.0741536
NODE_3123_length_20254_cov_3.534408	81020	1492731	0.0542764
NODE_2188_length_22821_cov_3.723836	127203	1712917	0.074261
NODE_706_length_31591_cov_3.457608	174479	2311449	0.0754847
NODE_1336_length_26506_cov_3.534707	176528	1838449	0.0960201
NODE_1696_length_24654_cov_3.438974	212224	1966111	0.107941
NODE_319_length_38222_cov_3.113370	2130583	11053148	0.192758
NODE_2858_length_20874_cov_3.032347	247780	1698660	0.145868
NODE_2161_length_22919_cov_3.318931	177453	1824055	0.0972849
NODE_3150_length_20208_cov_4.327266	296336	2220338	0.133464
NODE_2711_length_21288_cov_3.824673	153812	1753887	0.0876978
NODE_1200_length_27344_cov_3.341714	613700	3381313	0.181498
NODE_3119_length_20259_cov_9.200298	1038213	4241117	0.244797
NODE_2909_length_20740_cov_3.641345	129625	1820866	0.0711887
NODE_1820_length_24152_cov_3.296803	259547	1834169	0.141507
NODE_490_length_34349_cov_3.177226	371103	2947666	0.125897
NODE_1284_length_26795_cov_3.174333	348768	2529891	0.137859
NODE_1608_length_25021_cov_3.698901	146484	1865789	0.0785105
NODE_1778_length_24384_cov_3.337122	107126	1842818	0.0581316
NODE_2141_length_23022_cov_3.352223	1418606	6736703	0.210579
NODE_2904_length_20748_cov_3.379001	198729	1776593	0.11186
NODE_406_length_35951_cov_3.624707	465800	3300141	0.141145
NODE_3209_length_20088_cov_3.146381	282279	1838017	0.153578
NODE_3201_length_20098_cov_3.590230	227498	1752223	0.129834
NODE_1087_length_28088_cov_3.494123	216411	2214711	0.0977152
NODE_125_length_45261_cov_5.989814	1229359	10631605	0.115632
NODE_718_length_31368_cov_3.383415	823575	4150009	0.198451
NODE_187_length_42265_cov_3.866907	234041	3298168	0.0709609
NODE_2468_length_21971_cov_3.696187	97432	1616730	0.0602649
NODE_2494_length_21875_cov_6.017956	249627	2776647	0.0899023
NODE_2820_length_20980_cov_3.831043	221291	1661503	0.133187
NODE_875_length_29725_cov_3.701006	121968	2403703	0.0507417
NODE_2096_length_23194_cov_3.071487	270456	1943027	0.139193
NODE_890_length_29602_cov_3.003864	770837	3819491	0.201817
NODE_1606_length_25023_cov_3.272669	304261	2152449	0.141356
NODE_3013_length_20482_cov_3.205269	113345	1550855	0.0730855
NODE_176_length_42520_cov_3.647769	149580	3180390	0.047032
NODE_2467_length_21973_cov_3.422876	1505099	7983695	0.188522
NODE_1011_length_28715_cov_3.354033	630769	3127181	0.201705
NODE_206_length_41384_cov_3.788446	183345	3095699	0.0592257
NODE_831_length_30206_cov_3.461521	225908	2280504	0.0990606
NODE_2878_length_20804_cov_3.322144	264863	1969690	0.134469
NODE_401_length_36007_cov_3.654339	356855	2840442	0.125634
NODE_3239_length_20020_cov_3.262537	647076	4817913	0.134306
NODE_2616_length_21523_cov_3.416402	568663	2315221	0.245619
NODE_985_length_28887_cov_3.468390	191932	2321651	0.0826705
NODE_1523_length_25481_cov_3.465093	134457	1707674	0.0787369
NODE_1229_length_27194_cov_3.471563	352553	2516896	0.140075
NODE_2883_length_20799_cov_4.532802	410997	2774835	0.148116
NODE_1372_length_26243_cov_3.958767	109612	1883017	0.0582108
NODE_748_length_31069_cov_3.862609	165823	2371423	0.0699255
NODE_2870_length_20838_cov_3.095665	214635	1504264	0.142684
NODE_2051_length_23321_cov_3.781543	280575	2275719	0.123291
NODE_586_length_32947_cov_3.204609	262294	2682137	0.0977929
NODE_2844_length_20909_cov_3.140846	511417	2780027	0.183961
NODE_1995_length_23467_cov_3.583276	108587	1687699	0.0643403
NODE_814_length_30327_cov_3.767203	181881	2234110	0.0814109
NODE_304_length_38574_cov_3.656790	172494	2886705	0.0597546
NODE_180_length_42485_cov_3.251758	388700	3319645	0.117091
NODE_443_length_35204_cov_3.477368	186612	2562507	0.072824
NODE_2440_length_22050_cov_3.160904	486172	2051932	0.236934
NODE_2334_length_22370_cov_3.381662	129496	1557669	0.0831345
NODE_2169_length_22903_cov_3.108928	201273	1876192	0.107277
NODE_2120_length_23087_cov_3.143336	167565	1746363	0.0959508
NODE_784_length_30740_cov_4.788714	318815	4436245	0.071866
NODE_2535_length_21772_cov_3.130623	356139	2000634	0.178013
NODE_2452_length_22008_cov_4.014195	141042	1706278	0.0826606
NODE_80_length_49815_cov_3.569273	335231	3710208	0.0903537
NODE_1211_length_27263_cov_3.613128	196633	2349493	0.0836917
NODE_2035_length_23358_cov_3.499291	134383	1704267	0.0788509
NODE_155_length_43336_cov_3.719939	192116	3261912	0.0588967
NODE_3122_length_20257_cov_3.013940	448205	2494566	0.179673
NODE_2959_length_20619_cov_3.559649	158500	1605757	0.0987073
NODE_1143_length_27667_cov_3.487631	136692	2062832	0.0662642
NODE_2475_length_21958_cov_3.138570	346165	2371903	0.145944
NODE_1551_length_25323_cov_3.377696	166113	1982760	0.0837787
NODE_3056_length_20372_cov_3.509199	92166	1586763	0.0580843
NODE_1058_length_28285_cov_4.802029	341530	3405318	0.100293
NODE_44_length_55711_cov_3.731551	339983	4119808	0.082524
NODE_919_length_29380_cov_3.438134	601018	3278144	0.183341
NODE_1784_length_24358_cov_3.483532	167555	1854839	0.090334
NODE_188_length_42261_cov_3.394953	367354	3378072	0.108747
NODE_2145_length_23013_cov_3.760583	408393	2169355	0.188255
NODE_1391_length_26152_cov_3.200284	149571	2019224	0.0740735
NODE_2083_length_23235_cov_3.607063	235248	2033154	0.115706
NODE_1010_length_28715_cov_3.683359	215861	2262168	0.0954222
NODE_86_length_48908_cov_3.763998	569027	4551464	0.125021
NODE_139_length_44511_cov_3.867513	260415	3530410	0.0737634
NODE_2975_length_20586_cov_3.314053	121909	1553254	0.0784862
NODE_1450_length_25890_cov_3.623977	426440	2434294	0.17518
NODE_729_length_31205_cov_3.744454	149529	2666349	0.0560801
NODE_3067_length_20352_cov_2.886733	631341	2955782	0.213595
NODE_1854_length_24006_cov_3.492073	143442	1870906	0.0766698
NODE_2713_length_21278_cov_3.247887	164210	1639317	0.10017
NODE_2401_length_22167_cov_3.135626	196994	1661003	0.118599
NODE_246_length_40147_cov_3.588469	289966	2921462	0.0992537
NODE_3096_length_20300_cov_3.673828	140483	1510594	0.0929985
NODE_1155_length_27637_cov_3.601496	130849	1941676	0.0673897
NODE_1596_length_25081_cov_3.799336	216087	2001870	0.107943
NODE_1986_length_23502_cov_3.402256	372794	2236838	0.166661
NODE_815_length_30322_cov_3.551600	125801	2148935	0.0585411
NODE_1529_length_25421_cov_3.670682	147852	1907039	0.0775296
NODE_2106_length_23143_cov_3.410128	173369	1740567	0.0996049
NODE_3063_length_20356_cov_3.557980	298341	1895076	0.15743
NODE_2269_length_22558_cov_3.316265	172940	1716537	0.100749
NODE_1938_length_23659_cov_3.776952	659742	3184629	0.207164
NODE_150_length_43656_cov_3.680832	417634	3663665	0.113994
NODE_1939_length_23659_cov_3.355136	168214	1692426	0.0993922
NODE_2502_length_21855_cov_3.433490	147361	1780275	0.0827743
NODE_2608_length_21566_cov_3.273583	460286	2777306	0.165731
NODE_1209_length_27273_cov_3.050857	266574	2162041	0.123297
NODE_444_length_35178_cov_3.220616	724540	3934833	0.184135
NODE_610_length_32690_cov_3.469209	644329	6914753	0.0931818
NODE_2272_length_22547_cov_3.461556	96774	1698541	0.0569748
NODE_2851_length_20894_cov_3.872566	90968	1595690	0.0570086
NODE_396_length_36071_cov_3.389053	391751	2820502	0.138894
NODE_2005_length_23450_cov_3.690120	154393	1813302	0.0851447
NODE_135_length_44762_cov_3.527887	314860	3660295	0.0860204
NODE_2924_length_20693_cov_3.141935	268096	2013983	0.133117
NODE_2187_length_22822_cov_2.973815	288930	2002961	0.144251
NODE_3223_length_20060_cov_3.448374	156172	1463048	0.106744
NODE_2721_length_21255_cov_4.554925	304203	2765155	0.110013
NODE_2919_length_20707_cov_4.097826	115797	1586858	0.0729725
NODE_1734_length_24549_cov_2.955624	433768	2212972	0.196012
NODE_356_length_37258_cov_3.874728	233381	2785240	0.0837921
NODE_2289_length_22511_cov_3.924505	83576	1636734	0.0510627
NODE_730_length_31181_cov_3.445853	169722	2319097	0.0731845
NODE_2455_length_22002_cov_3.453134	190108	1602946	0.118599
NODE_1288_length_26772_cov_3.186893	1197264	4814432	0.248682
NODE_289_length_38969_cov_3.550707	324989	3079201	0.105543
NODE_1665_length_24813_cov_3.302946	285036	1944076	0.146618
NODE_145_length_43958_cov_3.823845	234092	3374931	0.069362
NODE_425_length_35607_cov_3.728456	475320	3789017	0.125447
NODE_3210_length_20086_cov_3.071446	142546	1573467	0.0905936
NODE_2246_length_22634_cov_3.805325	78146	1739360	0.044928
NODE_2423_length_22088_cov_2.968575	452014	2330173	0.193983
NODE_2784_length_21082_cov_3.164752	1074390	4100590	0.262009
NODE_1316_length_26569_cov_3.909369	115591	1880338	0.0614735
NODE_31_length_59470_cov_3.678884	434091	4884096	0.0888785
NODE_3173_length_20164_cov_3.711288	199127	1648721	0.120777
NODE_2795_length_21037_cov_3.197249	122089	1508145	0.0809531
NODE_619_length_32470_cov_3.491489	343297	2738252	0.125371
NODE_1681_length_24725_cov_3.361447	157845	1816715	0.0868848
NODE_1969_length_23545_cov_3.589226	197053	1633151	0.120658
NODE_3148_length_20210_cov_3.790612	83532	1575368	0.0530238
NODE_869_length_29769_cov_3.797506	505170	3243739	0.155737
NODE_1720_length_24591_cov_3.390495	345042	2013913	0.171329
NODE_1535_length_25382_cov_3.237314	278146	2235609	0.124416
NODE_979_length_28922_cov_3.452625	165372	2275937	0.0726611
NODE_2397_length_22180_cov_3.399121	169498	1715558	0.0988005
NODE_212_length_41266_cov_3.543712	245040	3326495	0.0736631
NODE_2137_length_23036_cov_3.852553	464345	2901488	0.160037
NODE_1278_length_26816_cov_3.259573	152851	1950485	0.0783656
NODE_3058_length_20365_cov_3.324139	439607	2550827	0.172339
NODE_1270_length_26899_cov_3.448246	229273	2210235	0.103732
NODE_1361_length_26303_cov_3.229431	257218	2209408	0.116419
NODE_2768_length_21119_cov_3.477117	166606	1715259	0.0971317
NODE_3216_length_20076_cov_4.115633	127481	1511642	0.0843328
NODE_2602_length_21597_cov_3.669830	170449	1628778	0.104648
NODE_639_length_32203_cov_3.726545	212560	2379587	0.0893264
NODE_2829_length_20957_cov_3.430386	640152	3013615	0.21242
NODE_3106_length_20279_cov_3.738603	188443	1740993	0.108239
NODE_3138_length_20222_cov_3.147990	103146	1667594	0.0618532
NODE_1581_length_25184_cov_3.277337	261608	1944796	0.134517
NODE_2077_length_23250_cov_3.137791	130299	1681399	0.0774944
NODE_1283_length_26803_cov_3.382527	199117	2021608	0.0984944
NODE_2692_length_21355_cov_3.010915	574887	2737336	0.210017
NODE_918_length_29394_cov_3.280560	174663	2166619	0.0806155
NODE_2407_length_22151_cov_4.103392	500091	3707199	0.134897
NODE_695_length_31693_cov_3.610274	686652	4877468	0.14078
NODE_2509_length_21839_cov_3.240616	1142536	4640707	0.246199
NODE_2866_length_20850_cov_3.527011	213895	1660141	0.128841
NODE_3231_length_20042_cov_3.654365	144929	1479869	0.0979337
NODE_2770_length_21115_cov_3.461696	407941	1909703	0.213615
NODE_2240_length_22654_cov_3.465351	325182	2053113	0.158385
NODE_1357_length_26311_cov_6.751068	633676	5198924	0.121886
NODE_2222_length_22698_cov_3.552901	229402	1992978	0.115105
NODE_943_length_29223_cov_4.206290	146598	2088264	0.0702009
NODE_2306_length_22458_cov_3.106311	2607394	16306579	0.159898
NODE_3068_length_20351_cov_3.461436	429639	1988770	0.216033
NODE_792_length_30665_cov_3.627037	177635	2479884	0.0716304
NODE_1273_length_26850_cov_3.083174	297292	2049171	0.145079
NODE_3136_length_20232_cov_3.473948	94962	1407273	0.0674794
NODE_3203_length_20093_cov_3.963439	289273	1964716	0.147234
NODE_2305_length_22459_cov_3.542800	158835	1870617	0.0849105
NODE_2764_length_21121_cov_3.360955	613537	2713714	0.226088
NODE_1703_length_24629_cov_3.394863	259212	2255276	0.114936
NODE_547_length_33544_cov_3.478637	194981	2355340	0.0827825
NODE_593_length_32898_cov_3.764444	177003	2367975	0.0747487
NODE_1070_length_28184_cov_3.679580	145937	2124278	0.0686996
NODE_1553_length_25317_cov_9.607384	309375	4435654	0.0697473
NODE_2332_length_22377_cov_3.415118	512049	2201687	0.232571
NODE_3228_length_20044_cov_3.281775	164383	1454791	0.112994
NODE_711_length_31550_cov_3.357381	475604	3629516	0.131038
NODE_2090_length_23212_cov_3.299875	342512	2102985	0.162869
NODE_2647_length_21450_cov_3.406773	132571	1733549	0.0764738
NODE_1193_length_27404_cov_3.487127	417976	2300053	0.181725
NODE_2038_length_23349_cov_3.416903	164154	1711346	0.095921
NODE_1816_length_24167_cov_3.798654	122986	1764146	0.0697142
NODE_2372_length_22259_cov_3.463357	286732	2129815	0.134628
NODE_657_length_32049_cov_3.436213	432232	3022420	0.143009
NODE_2239_length_22660_cov_3.725189	132217	1657419	0.0797728
NODE_2132_length_23041_cov_3.659969	183255	1787120	0.102542
NODE_2250_length_22623_cov_3.869606	178917	1885803	0.0948758
NODE_1267_length_26920_cov_3.418180	357229	2315127	0.154302
NODE_531_length_33769_cov_8.151262	708107	6270299	0.11293
NODE_2460_length_21991_cov_2.867486	253836	2100149	0.120866
NODE_2195_length_22795_cov_3.778904	105551	1741691	0.0606026
NODE_2706_length_21309_cov_3.354220	253923	1944586	0.130579
NODE_266_length_39617_cov_3.511033	491863	3236247	0.151986
NODE_3048_length_20399_cov_2.966453	334524	1821229	0.18368
NODE_2656_length_21441_cov_3.501359	161636	1691658	0.0955489
NODE_99_length_47222_cov_3.554528	348962	3714650	0.0939421
NODE_196_length_41906_cov_3.453513	507817	4298950	0.118126
NODE_2823_length_20972_cov_3.713122	686291	3744581	0.183276
NODE_1669_length_24784_cov_3.580231	79549	1724439	0.0461304
NODE_2932_length_20682_cov_3.606666	152952	1626241	0.0940525
NODE_2776_length_21099_cov_3.393048	117020	1559380	0.0750426
NODE_2855_length_20888_cov_3.798499	130858	1600896	0.0817405
NODE_2658_length_21440_cov_3.790966	384252	2126595	0.180689
NODE_66_length_51554_cov_3.431542	215945	4041051	0.0534378
NODE_1247_length_27040_cov_3.472328	251184	2110468	0.119018
NODE_2004_length_23454_cov_3.823036	395662	2379101	0.166307
NODE_1451_length_25877_cov_3.365040	231880	2020778	0.114748
NODE_274_length_39377_cov_3.600362	940878	7502529	0.125408
NODE_3207_length_20089_cov_3.651626	954530	3155031	0.302542
NODE_2342_length_22338_cov_3.744503	824129	4637840	0.177697
NODE_2879_length_20803_cov_3.876835	115254	1661130	0.0693829
NODE_1008_length_28719_cov_3.842453	91251	2214535	0.0412055
NODE_3005_length_20501_cov_3.083325	844395	3879482	0.217657
NODE_1793_length_24334_cov_3.968847	208517	2015265	0.103469
NODE_2804_length_21019_cov_3.231214	263341	1849575	0.142379
NODE_1261_length_26959_cov_3.858302	111735	2009738	0.0555968
NODE_1996_length_23467_cov_3.313377	276356	2117557	0.130507
NODE_572_length_33195_cov_3.445431	527985	3307081	0.159653
NODE_2573_length_21677_cov_3.870655	101289	1611075	0.0628704
NODE_2425_length_22083_cov_3.502365	112437	1693672	0.0663865
NODE_3088_length_20312_cov_4.159650	251669	2428932	0.103613
NODE_1826_length_24139_cov_3.590141	103205	1758163	0.0587005
NODE_1982_length_23519_cov_3.510418	92474	1793530	0.0515598
NODE_2548_length_21728_cov_3.074853	116459	1623785	0.0717207
NODE_2156_length_22933_cov_4.148200	157123	1972380	0.0796616
NODE_3071_length_20345_cov_3.567668	260625	1816774	0.143455
NODE_813_length_30345_cov_3.435694	242215	2518438	0.0961767
NODE_2028_length_23378_cov_3.647064	309678	2550598	0.121414
NODE_1429_length_25970_cov_4.166016	235198	2149811	0.109404
NODE_787_length_30705_cov_3.709011	274455	2457079	0.1117
NODE_2638_length_21466_cov_3.584031	226544	1794242	0.126262
NODE_2563_length_21693_cov_2.972122	212619	1774070	0.119848
NODE_2778_length_21096_cov_3.465162	337040	2436610	0.138323
NODE_2986_length_20555_cov_3.123876	273668	1612436	0.169723
NODE_1195_length_27388_cov_3.925611	113584	1953362	0.058148
NODE_1190_length_27409_cov_3.594691	286707	2558875	0.112044
NODE_2730_length_21228_cov_3.308202	297670	1844680	0.161367
NODE_760_length_30948_cov_3.384291	382298	3079122	0.124158
NODE_2760_length_21131_cov_3.413655	482497	2380328	0.202702
NODE_2060_length_23303_cov_3.748535	506369	3679041	0.137636
NODE_133_length_44813_cov_3.744085	519463	3879857	0.133887
NODE_2340_length_22355_cov_3.890816	234525	1721172	0.136259
NODE_462_length_34803_cov_3.627478	345300	2887666	0.119578
NODE_1667_length_24795_cov_3.548024	188377	1929687	0.0976205
NODE_2540_length_21739_cov_3.559843	261507	1901570	0.137522
NODE_838_length_30110_cov_3.733398	575543	3381470	0.170205
